,episode,steps,reward,alpha,gamma,epsilon,time,info
0,1,20,-473,0.1,0.7,0.9,0:00:06,{'message': 'outside_geofence'}
0,2,32,-464,0.1,0.7,0.9,0:00:15,{'message': 'outside_geofence'}
1,3,62,-621,0.1,0.7,0.9,0:00:34,{'message': 'outside_geofence'}
0,4,20,-451,0.1,0.7,0.9,0:00:40,{'message': 'outside_geofence'}
1,5,33,-445,0.1,0.7,0.9,0:00:50,{'message': 'outside_geofence'}
0,6,23,-480,0.1,0.7,0.89,0:00:57,{'message': 'outside_geofence'}
1,7,174,-804,0.1,0.7,0.89,0:01:49,{'message': 'outside_geofence'}
0,8,23,-467,0.1,0.7,0.89,0:01:56,{'message': 'outside_geofence'}
1,9,24,-500,0.1,0.7,0.89,0:02:03,{'message': 'outside_geofence'}
0,10,123,-706,0.1,0.7,0.89,0:02:40,{'message': 'outside_geofence'}
1,11,199,-571,0.1,0.7,0.89,0:03:38,{'message': 'outside_geofence'}
0,12,52,-449,0.1,0.7,0.89,0:03:54,{'message': 'outside_geofence'}
1,13,32,-493,0.1,0.7,0.89,0:04:04,{'message': 'outside_geofence'}
0,14,8,-407,0.1,0.7,0.89,0:04:06,{'message': 'outside_geofence'}
1,15,33,-516,0.1,0.7,0.89,0:04:16,{'message': 'outside_geofence'}
0,16,39,-478,0.1,0.7,0.89,0:04:28,{'message': 'outside_geofence'}
1,17,46,-565,0.1,0.7,0.88,0:04:42,{'message': 'outside_geofence'}
0,18,58,-558,0.1,0.7,0.88,0:04:59,{'message': 'outside_geofence'}
1,19,23,-460,0.1,0.7,0.88,0:05:06,{'message': 'outside_geofence'}
0,20,102,-476,0.1,0.7,0.88,0:05:36,{'message': 'outside_geofence'}
1,21,14,-401,0.1,0.7,0.88,0:05:41,{'message': 'outside_geofence'}
0,22,96,-495,0.1,0.7,0.88,0:06:09,{'message': 'outside_geofence'}
1,23,64,-581,0.1,0.7,0.88,0:06:29,{'message': 'outside_geofence'}
0,24,45,-434,0.1,0.7,0.88,0:06:42,{'message': 'outside_geofence'}
1,25,18,-411,0.1,0.7,0.88,0:06:48,{'message': 'outside_geofence'}
0,26,118,-672,0.1,0.7,0.88,0:07:23,{'message': 'outside_geofence'}
1,27,31,-526,0.1,0.7,0.88,0:07:32,{'message': 'outside_geofence'}
0,28,36,-461,0.1,0.7,0.88,0:07:43,{'message': 'outside_geofence'}
1,29,44,-598,0.1,0.7,0.87,0:07:56,{'message': 'outside_geofence'}
0,30,30,-431,0.1,0.7,0.87,0:08:05,{'message': 'outside_geofence'}
1,31,90,-700,0.1,0.7,0.87,0:08:32,{'message': 'outside_geofence'}
0,32,64,-557,0.1,0.7,0.87,0:08:51,{'message': 'outside_geofence'}
1,33,9,-438,0.1,0.7,0.87,0:08:54,{'message': 'outside_geofence'}
0,34,14,-422,0.1,0.7,0.87,0:08:59,{'message': 'outside_geofence'}
1,35,53,-449,0.1,0.7,0.87,0:09:15,{'message': 'outside_geofence'}
0,36,67,-538,0.1,0.7,0.87,0:09:35,{'message': 'outside_geofence'}
1,37,92,-490,0.1,0.7,0.87,0:10:02,{'message': 'outside_geofence'}
0,38,42,-470,0.1,0.7,0.87,0:10:15,{'message': 'outside_geofence'}
1,39,81,-540,0.1,0.7,0.87,0:10:39,{'message': 'outside_geofence'}
0,40,29,-451,0.1,0.7,0.86,0:10:48,{'message': 'outside_geofence'}
1,41,68,-655,0.1,0.7,0.86,0:11:08,{'message': 'outside_geofence'}
0,42,122,-724,0.1,0.7,0.86,0:11:45,{'message': 'outside_geofence'}
